ID,Herbal Image,Herbal Name,Scientific Name,Symptoms,Preparation,Precautions,Botany
1380,,Sunset Hibiscus / Lagikuway,Hibiscus surattensis,"Traditionally used for fever, cough, sore throat, inflammation, diarrhea, stomachache, wounds, skin infections, and general body weakness in folk medicine. The leaves, flowers, and roots are traditionally valued for their soothing, anti-inflammatory, antimicrobial, antioxidant, and demulcent properties.","The leaves and flowers are commonly prepared as a decoction or herbal infusion for traditional use. Young leaves may also be cooked and eaten as a vegetable in some communities. Crushed fresh leaves or flowers may be applied externally as a poultice for wounds, boils, swelling, insect bites, and skin irritation.",Use with caution. Scientific evidence supporting medicinal use is limited. Excessive internal use may cause mild digestive discomfort. Individuals with allergies to plants in the mallow family (Malvaceae) should use caution. Avoid excessive medicinal use during pregnancy or breastfeeding unless advised by a qualified healthcare professional. Ensure proper plant identification before medicinal use.,"Abelmoschus manihot is a perennial shrub, 1-3(-7) m tall. Root system usually adventitious and fairly shallow with most of the roots in the top 30-40 cm of the soil. Stem erect, woody,branching, glabrous or pubescent (without prickly hairs unlike related wild forms). Leaves simple, alternate, extremely variable in shape, size, color and pigmentation (or marking); petiole 3-25 cm long, stipules filiform orlanceolate,5-12 mm long; leaf-blade linear, lanceolate, cordate or deeply lobed or parted with 3-7 segments, color varying from light to dark green through red to purple. Flowers large, bell-shaped, 7-15cm in diameter, axillary, solitary or in racemes by the reduction or abortion of the upper leaves; pedicel 1-5(-7) cm long; epicalyx segments 4-6(-8), free, ovate to oblong, 1-3 cm × 0.5-1 cm; calyx spathaceous, 2-3 cm long, splitting on one side during the expansion of the corolla, adnate to and falling with the corolla; corolla consisting of 5 large, obovate to orbicular petals, 3-8 cm in diameter, pale yellow with a dark brown or reddish central spot; ovary superior, 5-celled; style surrounded by the staminal column from which it emerges and divides into 5 lobes, each ending in a flattened, disk-shaped, dark brown stigma; staminal column up to 3 cm long, white, bearing numerous filaments and anthers. Fruit an oblong-ovoid capsule, 3.5-6 cm × 2-2.5 cm, hairy, usually 5-angled and splitting into 5 segments. Seeds numerous, spherical to reniform, 2-4 mm in diameter, black."
1381,,Suregarda / Malaua,Suregada multiflora,"Traditionally used for fever, inflammation, diarrhea, stomachache, wounds, skin infections, rheumatic pain, and general body weakness in folk medicine. The bark, leaves, and roots are traditionally valued for their antimicrobial, anti-inflammatory, antioxidant, and astringent properties.","The bark, leaves, and roots are commonly prepared as a decoction or herbal infusion for traditional use. Crushed fresh leaves or bark may also be applied externally as a poultice for wounds, boils, swelling, and skin irritation.","Use with caution. Scientific evidence supporting medicinal use is limited. Members of the spurge family (Euphorbiaceae) may contain irritating or toxic compounds. Excessive internal use may cause digestive discomfort, while the sap may irritate the skin and eyes in sensitive individuals. Avoid medicinal use during pregnancy or breastfeeding unless advised by a qualified healthcare professional. Ensure proper plant identification before medicinal use.","Growth form: A bushy tree that can grow up to 21 m tall, sometimes seen growing as a shrub. Foliage: Leaves are fleshy, leathery, elliptic or narrowly wedged to spoon shaped with its base extending down a short petiole measuring up to 18 cm long and 6 cm wide. Flowers: Flowers are dioecious where the female and male flowers are borne separately on the same tree. The male flowers are closely clustered, each with numerous stamens, greenish-yellow colored on short stalks. The female flowers are small, white, narrow, with 5 - 6 sepals. Fruit: Fruit is a round, orange-red, 3-lobed capsule, that splits upon maturity to reveal its black seeds. (Flora & Fauna Web)"
1382,,Suren Toon / Surian,Toona sureni,"Traditionally used for fever, diarrhea, dysentery, inflammation, stomachache, wounds, skin infections, rheumatic pain, and general body weakness in folk medicine. The bark, leaves, and roots are traditionally valued for their antimicrobial, anti-inflammatory, antioxidant, and astringent properties.","The bark and leaves are commonly prepared as a decoction or herbal infusion for traditional use. Crushed fresh leaves or bark may also be applied externally as a poultice for wounds, boils, swelling, skin infections, and inflamed joints.",Use with caution. Scientific evidence supporting medicinal use is limited. Excessive internal use of bark preparations may cause digestive discomfort because of their tannin content. Individuals with allergies to plants in the mahogany family (Meliaceae) should use caution. Avoid excessive medicinal use during pregnancy or breastfeeding unless advised by a qualified healthcare professional. Ensure proper plant identification before medicinal use.,"Toona sureni is a medium-sized to large tree, reaching a maximum height of around 40 to 60 m (130 to 200 ft) and a diameter of 100 to 300 cm (39 to 118 in). Bole possesses buttress roots up to a height of 2 m (6.6 ft) and remains unbranched and straight up to a height of 20 to 30 m (66 to 98 ft). Bark is fibrous and flaky in texture with numerous vertical fissures. It is pale brown to whitish or grayish brown in color. When cut, the bark and sapwood produce a pleasant odor reminiscent of cinnamon. Sap is colorless and does not change in color after being exposed to air. Sapwood of Toona sureni is white to pinkish or light red in color, while the heartwood is light red or brown. Leaves are pinnate and large, with a length of about 29 to 84 cm (11 to 33 in). They are arranged spirally, usually clustered at the ends of twigs. Leaflets are lanceolate to ovate-lanceolate in shape, arranged somewhat opposite each other, usually in pairs of 6 to 9, with a maximum of 12 pairs. Upper and lower surfaces of the leaflet midribs are characteristically hairy (pilose). Inflorescences are terminal, occurring at the tips of branchlets, paniculate and pendant, reaching a length of around 40 cm (16 in). Individual flowers are small (around 4 to 5 mm (0.16 to 0.20 in) in length), and are sweetly fragrant. Flowers are individually unisexual, though both male and female flowers occur in the same plant. Fruits are leathery capsules, around 25 mm (0.98 in) long and brown in color, each containing more than 100 seeds. Seeds are narrow and usually 11 to 20 mm (0.43 to 0.79 in) in length, with a maximum length of 22 mm (0.87 in); and 1 to 10 mm (0.039 to 0.394 in) in diameter, and winged at both ends (subequal)."
1383,,Surename Cherry Tree / Pitanga,Eugenia uniflora,"Traditionally used for diarrhea, fever, cough, hypertension, diabetes, inflammation, digestive discomfort, urinary problems, and general body weakness in folk medicine. The leaves, fruits, and bark are traditionally valued for their antioxidant, antimicrobial, anti-inflammatory, astringent, and digestive-supporting properties.","The ripe fruits are commonly eaten fresh or processed into juices, jams, jellies, and preserves. The leaves are commonly prepared as a decoction or herbal infusion for traditional use. Crushed fresh leaves may also be applied externally as a poultice for wounds, boils, swelling, and skin irritation.","Use with caution. Scientific evidence supporting medicinal use is limited. Only ripe fruits should be consumed, as unripe fruits may cause digestive discomfort. Individuals taking medications for diabetes or hypertension should consult a qualified healthcare professional before medicinal use, as traditional preparations may enhance blood sugar- or blood pressure-lowering effects. Avoid excessive medicinal use during pregnancy or breastfeeding unless advised by a qualified healthcare professional. Ensure proper plant identification before medicinal use.","Eugenia uniflora is a large shrub or small tree with a conical form, growing 6 to 12 meters tall. Leaves are without stipules, ovate, glossy, in opposite pairs New leaves are bronze, copper, or coppery-pinkish in color, maturing to deep glossy green, up to 4 centimeters long ,Flowers have four white petals born on slender long stalks, with a conspicuous central cluster of white stamens ending in yellow anthers. Flowers develop into ribbed fruits. Fruit is a drupe, 2 to 4 centimeters long, green when young, becoming orange, scarlet, maroon, or dark red on ripening, and containing 1 to 2 seeds."
1384,,Swallow Wort / Kapal-kapal,Tylophora indica (syn. Vincetoxicum indicum),"Traditionally used for asthma, cough, bronchitis, fever, inflammation, diarrhea, dysentery, rheumatic pain, skin diseases, and general body weakness in folk medicine. The leaves and roots are traditionally valued for their anti-inflammatory, antimicrobial, antioxidant, bronchodilatory, and expectorant properties.","The leaves and roots are commonly prepared as a decoction or herbal infusion for traditional use. Crushed fresh leaves may also be applied externally as a poultice for wounds, boils, swelling, insect bites, and skin irritation.","Use with caution. Scientific evidence supporting medicinal use is limited. Excessive internal use may cause nausea, vomiting, diarrhea, drowsiness, or mouth irritation. As a member of the dogbane family (Apocynaceae), the plant contains potent bioactive compounds and should not be consumed in large amounts. Avoid medicinal use during pregnancy or breastfeeding unless advised by a qualified healthcare professional. Ensure proper plant identification before medicinal use.","Kapal-kapal is a medium-sized shrub growing to a height of 2 to 4 meters, the young parts covered with appressed white hairs. Bark is pale. Leaves are obovate or oblong, 10 to 20 centimeters long, 3 to 8 centimeters wide, cottony beneath, pointed at the tip, heart-shaped at the base. Flowers have a faint odor, not unpleasant, downy on the outside, arranged in axillary or subterminal, simple or compound, inflorescences. Corolla is 1.5 to 2.5 centimeters across, usually white, sometimes dull-purple or purplish-lilac; the lobes are ovate-lanceolate, and spreading. Fruit is a follicle, recurved, 7.5 to 10 centimeters long. Seeds are ovate, 5 to 6 millimeters long, with a bright, silky-white coma."
1385,,Swamp Millet / Kawayan-kawayan,Isachne globosa,"Traditionally used for fever, urinary problems, digestive discomfort, inflammation, diarrhea, and general body weakness in folk medicine. The whole plant is traditionally valued for its cooling, diuretic, antioxidant, and soothing properties.","The whole plant is commonly prepared as a decoction or herbal infusion for traditional use. In some communities, the young shoots are also used as animal forage rather than for human medicinal use.","Use with caution. Scientific evidence supporting medicinal use is limited. Plants collected from marshes or rice fields may accumulate pesticides, heavy metals, or other environmental contaminants. Excessive internal use may cause increased urination or digestive discomfort. Avoid excessive medicinal use during pregnancy or breastfeeding unless advised by a qualified healthcare professional. Ensure proper plant identification and harvest only from clean, uncontaminated areas before medicinal use.","Annuals or short-lived perennial. Culms slender to moderately robust, erect or decumbent and rooting at lower nodes, up to 80 cm tall, nodes glabrous, eglandular or with glandular ring. sheaths shorter than internodes, glabrous except for ciliate outer margin; blades narrowly lanceolate, glabrous, scabrid, base rounded, apex acute; ligule 1-2 mm. Panicle open, ovate in outline, 4-11 cm, glandular, many-spiculate; Spikelets elliptic-globose, 1.5-2(-2.2) mm, greenish or purplish brown; lower floret male, upper floret female; glumes subequal, as long as or shorter than florets, apex broadly rounded; lower lemma oblong, cartilaginous to subcrustaceous, shallowly convex, back sometimes sulcate, smooth, glabrous."
1386,,Giant Swamp Taro / Palauan,Cyrtosperma merkusii,"Traditionally used for digestive health, constipation, general body weakness, nutritional support, wound care, and inflammation in folk medicine. The corms and young leaves are valued as sources of carbohydrates, dietary fiber, vitamins, and minerals. In some traditional practices, the leaves are applied externally to minor wounds and skin irritation.","The corms are thoroughly cooked by boiling, steaming, roasting, or baking before consumption. Young leaves and leaf stalks are also cooked as vegetables after proper preparation. Crushed cooked leaves may be applied externally as a poultice for minor wounds and skin irritation in some traditional practices.","Use with caution. Raw corms and leaves contain calcium oxalate crystals, which can cause intense irritation of the mouth, throat, and skin. Always cook thoroughly before consumption to reduce these compounds. Individuals prone to kidney stones should consume in moderation because of the oxalate content. Avoid excessive medicinal use during pregnancy or breastfeeding unless advised by a qualified healthcare professional. Ensure proper plant identification before medicinal use.","Palauan has the habit of Alocasia macrorrhiza, a large plant with a very stout trunk, growing in dense clumps, . Leaves are very big, hastate, up to 1.5 meters in length. Petioles are large and stout, up to 2.5 meters long and 10 centimeters in diameter. Spathe is 30 to 60 centimeters long and oblong. Spadix is cylindric, about 15 centimeters long, 2 to 3 centimeters wide. Seeds are globose and about 5 millimeters wide."
1387,,Swan Plant / Balloon Cotton Bush,Gomphocarpus physocarpus (syn. Asclepias physocarpa),"Traditionally used in limited folk practices for wounds, skin infections, inflammation, rheumatic pain, and external parasitic infestations. The leaves and latex have been traditionally valued for their antimicrobial and anti-inflammatory properties.","The leaves or diluted latex have traditionally been applied externally as a poultice or topical preparation for wounds, boils, skin infections, and painful joints. Internal medicinal use is not recommended.","Use with extreme caution. The milky latex contains cardiac glycosides and other toxic compounds that can cause nausea, vomiting, abdominal pain, irregular heartbeat, and severe poisoning if ingested. The sap may also cause skin and eye irritation. Avoid internal use, avoid contact with the eyes, and wash hands thoroughly after handling the plant. Avoid medicinal use during pregnancy or breastfeeding unless advised by a qualified healthcare professional. Ensure proper plant identification before medicinal use.","Shrubs up to 1.5(–2.5) m tall, much branched from the base; branches erect, densely hairy when young, woody at base. Leaves opposite, short petiolate, linear to narrowly linear-elliptical, (2.5–)4–12 cm × (0.2–)0.3–0.8(–1.3) cm, entire, base cuneate, apex attenuate, yellowish-green, sparsely to densely hairy on veins. Inflorescences nodding umbel, 4–7(–12)-flowered; peduncle 1.5–3(–4) cm long; bracts filiform, deciduous; flowers 5-merous; pedicel 1–2.5 cm long; sepals lanceolate or triangular, 2–5 mm long, attenuate; corolla reflexed, white, yellowish or pink, lobes ovate, 5–8 mm × 3–5 mm, acute, margins ciliate; corona lobes attached 1–1.5 mm above base of staminal column, laterally compressed, 2–4 mm × 1.5–3 mm, as tall as the column. The fruits are follicles, ovoid, tapering into a long beak, 4–7 cm × 1.5–2.5 cm, papery, pale green, sometimes tinged reddish, short-hairy, soft spiny. (botany.cz)"
1388,,Sweet Alyce Clover / Sweet Alys,Alysicarpus vaginalis,"Traditionally used for fever, cough, diarrhea, inflammation, urinary problems, wounds, skin infections, and general body weakness in folk medicine. The whole plant is traditionally valued for its antimicrobial, anti-inflammatory, antioxidant, diuretic, and wound-healing properties.","The whole plant is commonly prepared as a decoction or herbal infusion for traditional use. Crushed fresh leaves and stems may also be applied externally as a poultice for wounds, boils, insect bites, swelling, and skin irritation.",Use with caution. Scientific evidence supporting medicinal use is limited. Excessive internal use may cause mild digestive discomfort or increased urination. Individuals with kidney disorders or those taking diuretic medications should consult a qualified healthcare professional before medicinal use. Avoid excessive medicinal use during pregnancy or breastfeeding unless advised by a qualified healthcare professional. Ensure proper plant identification before medicinal use.,"Herbs, perennial. Stem erect or diffuse, much branched, 25-120 cm tall, glabrous or subglabrous. Leaves 1-foliolate; petiole ca. 2 mm or leaves subsessile; blade linear to linear-lanceolate, 4-7 × 0.4-0.5 cm, abaxially sparsely pubescent on midvein, adaxially glabrous, base rounded or cuneate, apex acute. Racemes terminal, 3-18 cm, 20-40-flowered, binate at each node; internodes 8-10 mm. Pedicel ca. 1 mm or flowers subsessile. Calyx 6-8 mm, longer than first article of legume; lobes lanceolate, ca. 2 × as long as tube. Corolla pale yellow or yellowish green, ca. 5 mm. Legume brown at maturity, 0.6-1.5 cm × ca. 1.8 mm, higher than calyx, 3-6-jointed, constricted between articles, glabrous. (Flora of China)"
1389,,Sweet Bamboo / Kayali,Bambusa vulgaris,"Traditionally used for fever, cough, inflammation, urinary problems, wounds, skin irritation, and general body weakness in folk medicine. The leaves, shoots, and stems are traditionally valued for their cooling, antioxidant, antimicrobial, and soothing properties.","The young shoots are commonly prepared as food after proper cooking. The leaves are sometimes prepared as a decoction or herbal infusion for traditional use. Crushed leaves may also be applied externally as a poultice for minor wounds, swelling, and skin irritation.",Use with caution. Scientific evidence supporting medicinal use is limited. Raw bamboo shoots may contain cyanogenic glycosides and should be properly processed and cooked before consumption. Excessive intake of concentrated leaf or shoot preparations may cause digestive discomfort. Avoid excessive medicinal use during pregnancy or breastfeeding unless advised by a qualified healthcare professional. Ensure proper plant identification before medicinal use.,"Kayali is a densely tufted, sympodial bamboo. Culms grow up to 25 meters high, 5 to 10 cm in diameter, about 8 mm thick, bluish-green with distinct pale rings on the nodes; internodes are 40 to 50 cm long, on the upper part with dark-brown appressed hairs, the lower nodes with a few aerial roots. Branches arise from the nodes above 2 to 3 m from the ground. Culm sheath are narrowly triangular with truncate apex, 21 to 36 cm long, black hairy on the outer side. Blades are lanceolate, about 10 cm by 3 cm, deflexed, deciduous, ligue 3 to 6 mm long, irregularly toothed. Young shoots are slender, green to dark green, with appressed black hairs. Leaf blade oblong lanceolate, 20 to 44 cm by 3 to 9 cm, glabrous, lugule2 mm long, auricles firm and low, 2 mm by 1 mm. Inflorescence are borne on leafy branches, with 35 pseudospikelets at the nodes; spikelets are ovoid-lanceolate, 9 to 12 mm by 3 to 4 mm, containing 4 perfect florets and one terminal imperfect one. Caryopsis unknown. (Pl@ntUse)"
1390,,Sweet Bay / Laurel,Laurus nobilis,"Traditionally used for indigestion, stomachache, bloating, cough, colds, inflammation, rheumatic pain, and general body discomfort in folk medicine. The leaves are traditionally valued for their aromatic, antimicrobial, antioxidant, carminative, and anti-inflammatory properties.","The dried or fresh leaves are commonly used as a culinary spice. The leaves may also be prepared as a herbal infusion or tea for traditional use. Laurel oil or crushed leaves may be used externally in diluted preparations for muscle aches, joint discomfort, and skin applications.","Use with caution. Scientific evidence supporting medicinal use is limited. Large amounts of concentrated leaf extracts or essential oil may cause digestive irritation, allergic reactions, or toxicity. Whole leaves should not be swallowed because they are tough and may cause choking or digestive obstruction. Avoid excessive medicinal use during pregnancy or breastfeeding unless advised by a qualified healthcare professional. Ensure proper plant identification before medicinal use.","Laurus nobilis is an evergreen shrub or small tree, variable in size, growing 7 to 18 meters high. Leaves are glabrous, 6 to 12 centimeters long and 2 to 4 centimeters wide, with entire margins, some with undulate. Flowers are dioecious. Each flower is pale yellow-green, about 1 centimeters in diameter, born in pairs beside a leaf. Fruit is a small, shiny berry-like drupe, about 1 centimeter long and containing one seed."
1391,,Sweet Flag / Lubigan,Acorus calamus,"Traditionally used for cough, colds, sore throat, fever, stomachache, indigestion, bloating, diarrhea, inflammation, and nervous system complaints in folk medicine. The rhizomes are traditionally valued for their aromatic, antimicrobial, anti-inflammatory, and digestive-supporting properties.",The rhizomes are commonly dried and prepared as a decoction or herbal infusion in traditional practices. The aromatic rhizome has also been used externally in some preparations for muscle discomfort and skin applications.,"Use with extreme caution. Some varieties of Acorus calamus contain β-asarone, a compound associated with potential toxicity and carcinogenic concerns at high exposure levels. Excessive internal use may cause nausea, vomiting, dizziness, or other adverse effects. Avoid long-term use, concentrated preparations, and internal use during pregnancy or breastfeeding unless advised by a qualified healthcare professional. Ensure proper plant identification before medicinal use.","Lubigan is a perennial aromatic herb, with creeping, branching and rhizomatous rootstock. Rhizome are prostrate, firm and stout with compactly arranged annular rings with numerous rootlets. Leaves arising from rhizome are linear, distichous, 25 to 50 centimeters long, 1 to 1.5 centimeters wide, with waved margins and stout midribs, base of leaf sheathed, clasping to each other. Peduncle is compressed. Spathe is green, much elongated, similar in shape to the leaves. Spadix is 3 to 5 centimeters long, and 1 centimeter or less in diameter, and bears many flowers. Flowers are very small, compacted into a concave-shaped spadix inflorescence. Sepals are 6, stamens 6, rarely flowering in the Philippines. Fruits are berries, turbinate, prismatic, with pyramidal tops, about 0.2 centimeter diameter."
1392,,Sweet Basil / Balanoy,Ocimum basilicum,"Traditionally used for cough, colds, fever, sore throat, stomachache, indigestion, bloating, inflammation, insect bites, and general body weakness in folk medicine. The leaves and seeds are traditionally valued for their antimicrobial, antioxidant, anti-inflammatory, and digestive-supporting properties.","The fresh leaves are commonly used as a culinary herb or prepared as a herbal tea or infusion. The seeds may be soaked in water and consumed in some traditional practices. Crushed fresh leaves may also be applied externally as a poultice for insect bites, minor wounds, and skin irritation.",Use with caution. Scientific evidence supporting medicinal use is limited. Large amounts of concentrated basil extracts or essential oil may cause irritation or adverse effects. Basil seeds should be properly prepared before consumption to avoid choking risk. Individuals taking anticoagulant medications or blood sugar-lowering drugs should consult a qualified healthcare professional before using concentrated preparations. Avoid excessive medicinal use during pregnancy or breastfeeding unless advised by a qualified healthcare professional. Ensure proper plant identification before medicinal use.,"Balanoy is an erect, branched branched, smooth, somewhat hairy, and very aromatic undershrub, growing 0.5 to 1.5 meters high. Leaves are simple, opposite, ovate to oblong-ovate, entire or slightly toothed, with acute tips and glandular spots on the lower surface. Flowers are pink or purplish and borne in racemes which are 8 to 15 centimeters long. Calyx of the individual flower or floret is strongly reflexed, the upper lobe round, the lower two narrowly lanceolate and acuminate, and the lateral ones ovate. Corolla bilabiate, exerted, and upper lip broader, subequally 4-fid, the lower lip entire. Petals pink or purplish, stamens exserted. Fruits are nutlets, smooth or somewhat rugose."
1393,,Sweet Broomweed / Mala-anis,Scoparia dulcis,"Traditionally used for cough, fever, colds, diabetes, hypertension, stomachache, diarrhea, urinary problems, inflammation, wounds, and skin infections in folk medicine. The whole plant is traditionally valued for its antioxidant, antimicrobial, anti-inflammatory, antidiabetic, and diuretic properties.","The leaves and whole plant are commonly prepared as a decoction or herbal infusion for traditional use. Crushed fresh leaves may also be applied externally as a poultice for wounds, boils, swelling, and skin irritation.","Use with caution. Scientific evidence supporting medicinal use is limited. Excessive internal use may lower blood sugar or blood pressure and may interact with related medications. Individuals taking diabetes, hypertension, or diuretic medications should consult a qualified healthcare professional before medicinal use. Avoid excessive medicinal use during pregnancy or breastfeeding unless advised by a qualified healthcare professional. Ensure proper plant identification before medicinal use.","Mala-anis is an erect, much branched, smooth, herbaceous, or half-woody plant 25 to 80 centimeters in height. Leaves are opposite and whorled, lanceolate to elliptic or oblanceolate, 0.5 to 2 centimeters long, pointed at both ends and narrowed below the short stalk, and toothed in the margins. Flowers are white, small, very numerous, and in pairs; their stalks slender, and 1 centimeter long or less. Sepals are 4 or 5, imbricate, corolla rotate, 4-fid, the throat bearded, lobes subequal, white stamens 4, subequal. Capsules are ovoid or rounded, 2 to 3 millimeters in diameter."
1394,,Sweet Elder / Sauko,Sambucus javanica,"Traditionally used for fever, cough, colds, inflammation, wounds, skin infections, rheumatic pain, constipation, and general body weakness in folk medicine. The flowers, leaves, and fruits are traditionally valued for their antioxidant, antimicrobial, anti-inflammatory, and diuretic properties.","The flowers and leaves are commonly prepared as a decoction or herbal infusion for traditional use. Ripe fruits may be processed into cooked preparations such as syrups or preserves. Crushed leaves or flowers may also be applied externally as a poultice for wounds, swelling, and skin irritation.","Use with caution. Scientific evidence supporting medicinal use is limited. Raw or unripe fruits, leaves, and other plant parts may contain compounds that can cause nausea, vomiting, diarrhea, or stomach irritation. Fruits should be properly identified and cooked before consumption. Avoid excessive medicinal use during pregnancy or breastfeeding unless advised by a qualified healthcare professional. Ensure proper plant identification before medicinal use.","Sauko is a shrub or small, widely spreading tree up to 4 meters in height. Leaves have 3 to 8 pairs of opposite leaflets and a terminal leaflet. Leaflets are thin, oblong-lanceolate, 5 to 20 centimeters long, 1.3 to 5 centimeters wide, pointed at both ends, toothed on the margins. Flowers are small, cream-white, on terminal clusters (compound umbels), 15 to 30 centimeters wide."
1395,,Sweet Marjoram / Marjoram,Origanum majorana,"Traditionally used for cough, colds, sore throat, indigestion, stomachache, bloating, menstrual discomfort, inflammation, headache, and general body discomfort in folk medicine. The leaves are traditionally valued for their antimicrobial, antioxidant, antispasmodic, and anti-inflammatory properties.",The fresh or dried leaves are commonly used as a culinary herb. The leaves may also be prepared as a herbal tea or infusion for traditional use. Marjoram oil or crushed leaves may be used externally in diluted preparations for muscle discomfort and skin applications.,Use with caution. Scientific evidence supporting medicinal use is limited. Concentrated essential oil may irritate the skin or cause adverse effects if used improperly. Large medicinal doses may affect blood clotting or hormone activity. Individuals taking anticoagulant medications or those with bleeding disorders should consult a qualified healthcare professional before using concentrated preparations. Avoid excessive medicinal use during pregnancy or breastfeeding unless advised by a qualified healthcare professional. Ensure proper plant identification before medicinal use.,"Marjoram is a bushy half-hardy perennial sub-shrub, growing to a height of 1 to 2 feet, with descending, multibranched stems, the stems taking root as they touch the ground. Leaves are simple, opposite and stalked, elliptic, 10 to 13 millimeters long, exuding a fragrance when bruised. Flowers are small, purple or white, few to many, arranged in spikelets; Inflorescences with enlarged overlapping bracts."
1396,,Sour Orange / Dalandan,Citrus aurantium,"Traditionally used for cough, colds, sore throat, fever, indigestion, bloating, constipation, inflammation, and general body weakness in folk medicine. The fruits, peel, flowers, and leaves are traditionally valued for their vitamin C, antioxidant, antimicrobial, and digestive-supporting properties.",The fruit juice is commonly consumed fresh or mixed into beverages. The peel and leaves are commonly prepared as a herbal infusion or tea. The peel may also be dried and used as a flavoring ingredient.,"Use with caution. Scientific evidence supporting medicinal use is limited. Excessive intake of concentrated extracts, especially bitter orange preparations, may affect heart rate and blood pressure in some individuals. The peel or juice may irritate the stomach in sensitive individuals. People with hypertension, heart conditions, or those taking medications should consult a qualified healthcare professional before using concentrated preparations. Avoid excessive medicinal use during pregnancy or breastfeeding unless advised by a qualified healthcare professional. Ensure proper plant identification before medicinal use.","Dalandan is a small, erect tree with smooth, greenish white shoots with spinescent thorns. Leaves are oblong to subelliptic, 10 centimeters long by about 4 centimeters wide. Petiole is narrowly winged. Flowers are white, bisexual, solitary or few clustered, smooth, and growing from the uppermost leaf axils. Fruit is nearly spherical, 5 to 9 centimeters in diameter, and mamillate or not, the skin is orange red and tight; partitioned inside with yellowish juice sacks. Taste is usually sweet, occasionally sour."
1397,,Sweet Red Pepper / Siling Lara,Capsicum annuum,"Traditionally used for nutritional support, poor appetite, digestive discomfort, inflammation, and general body weakness in folk medicine. The fruits are valued for vitamin C, vitamin A, antioxidants, and capsaicin-related compounds that may support circulation and metabolism.","The ripe fruits are commonly eaten fresh, cooked, roasted, dried, or used as a spice. The fruits may also be prepared as juices, sauces, or culinary seasonings. External preparations containing pepper extracts may be used in some traditional practices for muscle discomfort.","Use with caution. Scientific evidence supporting medicinal use is limited. Excessive consumption may cause stomach irritation, heartburn, or digestive discomfort. Concentrated pepper extracts may irritate the skin, eyes, and mucous membranes. Individuals with sensitive stomach conditions should consume in moderation. Avoid excessive medicinal use during pregnancy or breastfeeding unless advised by a qualified healthcare professional. Ensure proper plant identification before medicinal use.","Red pepper is a very variable herb or subshrub, 0.5 to 1.5 meters tall, much branched, with a strong taproot and numerous lateral roots. Stems are irregular to subterete, angular and glabrous, up to 1 centimeter in diameter.. Leaves are alternate, simple, very variable, petioles p to 1o centimeters long. Leaf blade is light to dark green, ovate, up to 10 centimeters by 5 centimeters, with entire margins, acuminate at the apex. Flowers are borne singly, usually white, five to seven stamens with pale blue to purplish anthers. Fruit is a non-pulpy berry, usually, very variable in size, shape, and color, and degree of pungency, usually more or less conical, up to 30 centimeters long, green, yellow, cream or purplish when immature, red, orange yellow when mature. Seed orbicular, flattened, 3 to 4.5 millimeters in diameter, approximately 1 millimeter thick, pale yellow."
1398,,Sweet Potato / Kamote,Ipomoea batatas,"Traditionally used for constipation, digestive discomfort, inflammation, anemia support, wounds, and general body weakness in folk medicine. The roots, leaves, and shoots are valued for dietary fiber, vitamins A and C, minerals, antioxidants, and nutritional support.","The tubers are commonly boiled, steamed, baked, fried, or cooked in various dishes. The young leaves and shoots are commonly prepared as vegetables. In some traditional practices, the leaves are prepared as a decoction or applied externally as a poultice for minor wounds and skin irritation.","Generally safe when consumed as food. Excessive intake may cause bloating, gas, or digestive discomfort due to high fiber content. Raw sweet potato leaves and tubers may contain compounds that are reduced through proper cooking. Individuals with kidney problems should consume large amounts with caution due to naturally occurring oxalates. Avoid excessive medicinal use during pregnancy or breastfeeding unless advised by a qualified healthcare professional. Ensure proper plant identification before medicinal use.","Kamote is a spreading, prostrate, herbaceous, smooth or somewhat hairy vine. Stems or runners, sprawling several meters long, take root when in contact with soil. Leaves are ovate to oblong-ovate, 6 to 14 centimeters long, somewhat entire, with alternate heart-shaped or palmately lobed leaves, pointed at the tip, and heart-shaped at the base. Flowers are sympetalous like that of morning glory, 5 centimeters long, funnel-shaped, purple, self sterile, and rarely producing seeds. Stamens are 5, of different lengths attached to corolla (epipetalous) with hairy filaments. Sepals are about 1 centimeter long and greenish with pointed lobes. Corolla is funnel shaped, 4 to 5 centimeters long, pink, purple, and whitish. The edible and sweet-tasting tuberous root is long and tapered with a smooth skin of varying colors from red, purple, brown and white. The flesh varies from white, orange, purple and yellow."
